r,s
0,0.0
1,0.17833791639471963
2,0.35933633583615276
3,0.543053933282465
4,0.7295510808004313
5,0.9188899077414913
6,1.1111343634174677
7,1.3063502823939648
8,1.504605452524398
9,1.7059696858550568
10,1.9105148925374722
11,2.1183151578922814
12,2.329446822775041
13,2.5439885674038965
14,2.762021498815813
15,2.983629242127951
16,3.2088980357893466
17,3.437916831017937
18,3.6707773956284866
19,3.907574422467286
20,4.148405642681308
21,4.393371944061146
22,4.642577494709793
23,4.8961298723024775
24,5.154140199216918
25,5.416723283827647
26,5.683997768273642
27,5.956086283024408
28,6.233115608587144
29,6.51521684471439
30,6.802525587490953
31,7.095182114697925
32,7.393331579871833
33,7.697124215498196
34,8.00671554580078
35,8.322266609610681
36,8.643944193822849
37,8.971921077972821
38,9.306376290490993
39,9.647495377218641
40,9.99547068279593
41,10.350501645560117
42,10.71279510661934
43,11.082565633796198
44,11.46003586116244
45,11.84543684491561
46,12.239008436374645
47,12.64099967289946
48,13.051669187564839
49,13.471285638443046
50,13.900128158371928
51,14.338486826103443
52,14.786663159743666
53,15.244970633405266
54,15.713735217998446
55,16.19329594708373
56,16.68400550869891
57,17.18623086405063
58,17.700353893927005
59,18.226772073637893
60,18.765899177222536
61,19.318166011575045
62,19.88402118102534
63,20.463931882769405
64,21.05838473336562
65,21.66788662629557
66,22.292965620323372
67,22.934171858067195
68,23.59207851381441
69,24.267282769154967
70,24.96040681446636
71,25.67209887364574
72,26.403034248732773
73,27.153916380189575
74,27.92547791757667
75,28.71848179417324
76,29.533722297706205
77,30.372026127757273
78,31.234253428578256
79,32.12129878393529
80,33.03409215819089
81,33.97359976508284
82,34.94082484254013
83,35.93680830834891
84,36.9626292675143
85,38.0194053377219
86,39.10829275435849
87,40.23048621108267
88,41.38721838593079
89,42.579759096405176
90,43.80941401994328
91,45.077522908658246
92,46.385457219358834
93,47.73461707173066
94,49.12642743937744
95,50.56233347043806
96,52.04379482705184
97,53.57227892648042
98,55.14925296176409
99,56.77617457707473
100,58.45448107325118
101,60.1855770233343
102,61.97082018737247
103,63.81150563159036
104,65.70884798054561
105,67.66396176353147
106,69.67783985957011
107,71.75133010008506
108,73.8851101556405
109,76.07966091340398
110,78.33523864491968
111,80.65184636811597
112,83.02920492073807
113,85.46672438069143
114,87.9634765865971
115,90.51816962204194
116,93.12912522086177
117,95.79426011842322
118,98.51107240475066
119,101.2766339191853
120,104.08758965410367
121,106.94016500068754
122,109.83018147034183
123,112.753081263648
124,115.7039607430928
125,118.67761251064618
126,121.66857541654284
127,124.67119145554534
128,127.67966816791807
129,130.6881448802908
130,133.6907609192933
131,136.68172382518995
132,139.65537559274335
133,142.60625507218816
134,145.52915486549432
135,148.4191713351486
136,151.27174668173248
137,154.08270241665085
138,156.84826393108548
139,159.56507621741292
140,162.23021111497437
141,164.8411667137942
142,167.39585974923904
143,169.8926119551447
144,172.3301314150981
145,174.7074899677202
146,177.02409769091648
147,179.27967542243218
148,181.47422618019564
149,183.6080062357511
150,185.681496476266
151,187.69537457230467
152,189.65048835529055
153,191.54783070424577
154,193.38851614846365
155,195.17375931250183
156,196.904855262585
157,198.5831617587614
158,200.21008337407207
159,201.7870574093557
160,203.3155415087843
161,204.79700286539807
162,206.2329088964587
163,207.6247192641055
164,208.9738791164773
165,210.2818134271779
166,211.54992231589284
167,212.77957723943098
168,213.97211794990537
169,215.12885012475348
170,216.25104358147766
171,217.33993099811426
172,218.39670706832183
173,219.42252802748723
174,220.41851149329602
175,221.3857365707533
176,222.32524417764523
177,223.23803755190087
178,224.12508290725788
179,224.98731020807884
180,225.82561403812994
181,226.64085454166292
182,227.43385841825946
183,228.2054199556466
184,228.95630208710338
185,229.68723746219044
186,230.39892952136978
187,231.09205356668116
188,231.76725782202175
189,232.42516447776896
190,233.06637071551276
191,233.69144970954056
192,234.3009516024705
193,234.89540445306673
194,235.47531515481083
195,236.0411703242611
196,236.59343715861363
197,237.13256426219826
198,237.65898244190913
199,238.17310547178553
200,238.67533082713723
201,239.1660403887524
202,239.6456011178377
203,240.11436570243086
204,240.57267317609248
205,241.02084950973267
206,241.4592081774642
207,241.88805069739308
208,242.3076671482713
209,242.71833666293668
210,243.12032789946153
211,243.51389949092052
212,243.8993004746737
213,244.27677070203998
214,244.64654122921678
215,245.00883469027602
216,245.36386565304022
217,245.7118409586175
218,246.05296004534515
219,246.38741525786332
220,246.7153921420133
221,247.0370697262255
222,247.35262079003536
223,247.66221212033795
224,247.9660047559643
225,248.26415422113823
226,248.55681074834516
227,248.84411949112177
228,249.126220727249
229,249.40325005281173
230,249.67533856756248
231,249.9426130520085
232,250.2051961366192
233,250.46320646353368
234,250.71675884112636
235,250.96596439177503
236,251.2109306931548
237,251.45176191336887
238,251.68855894020768
239,251.92141950481818
240,252.1504383000468
241,252.37570709370823
242,252.59731483702032
243,252.81534776843228
244,253.0298895130611
245,253.24102117794385
246,253.44882144329864
247,253.6533666499811
248,253.85473088331173
249,254.05298605344217
250,254.24820197241868
251,254.44044642809465
252,254.62978525503573
253,254.8162824025537
254,255.0
